dates,GPHT_seaward,days_from_start,linfit,ndates
2010-01-15,0.6061312437953269,0,1.668801020958372,2010-01-15
2010-01-23,0.6332011056084105,8,1.6674887156459874,2010-01-23
2010-01-28,0.5308161909417973,13,1.6666685248257471,2010-01-28
2010-02-02,0.6398532842522362,18,1.6658483340055068,2010-02-02
2010-04-05,1.4512657590159472,80,1.6556779678345266,2010-04-05
2010-05-08,2.5215798142393835,113,1.6502647084209403,2010-05-08
2010-12-05,0.5089195166684648,324,1.6156526558067985,2010-12-05
2011-02-24,1.0570397049700144,405,1.602365564518905,2011-02-24
2011-04-09,4.042587902133572,449,1.59514788530079,2011-04-09
2011-04-14,2.692491712518369,454,1.5943276944805498,2011-04-14
2011-05-07,1.6405955785629012,477,1.5905548167074444,2011-05-07
2011-10-22,0.7465682919956524,645,1.562996405147369,2011-10-22
2011-10-26,0.8115804867242368,649,1.562340252491177,2011-10-26
2011-12-28,0.6623447176315148,712,1.5520058481561487,2011-12-28
2012-02-07,1.1694252860046372,753,1.545280283430178,2012-02-07
2012-04-03,3.415169748517751,809,1.5360941462434863,2012-04-03
2012-04-21,3.157254327592285,827,1.5331414592906212,2012-04-21
2012-04-22,2.463638677225707,828,1.532977421126573,2012-04-22
2012-07-10,1.1986222382391263,907,1.5200184061667756,2012-07-10
2012-07-28,1.4632103813973993,925,1.5170657192139105,2012-07-28
2012-10-12,0.49639234493542284,1001,1.5045988187462576,2012-10-12
2013-01-05,0.27099990389414713,1086,1.490655574802172,2013-01-05
2013-03-27,1.8234892227043378,1167,1.4773684835142786,2013-03-27
2013-05-17,1.7969352734102413,1218,1.4690025371478272,2013-05-17
2013-07-18,1.962868113926347,1280,1.458832170976847,2013-07-18
2013-10-15,1.333519998394802,1369,1.444232774376569,2013-10-15
2014-01-12,0.7175039677025357,1458,1.4296333777762913,2014-01-12
2014-02-10,0.6691789794991156,1487,1.4248762710188974,2014-02-10
2014-04-05,2.682909691611005,1541,1.4160182101603018,2014-04-05
2014-07-21,4.309550909434845,1648,1.3984661266071585,2014-07-21
2014-10-04,0.8776824735166976,1723,1.3861632643035535,2014-10-04
2014-12-22,0.5161253716438574,1802,1.3732042493437564,2014-12-22
2015-02-25,1.0276003941301683,1867,1.362541768680632,2015-02-25
2015-03-02,1.3048300277461764,1872,1.3617215778603917,2015-03-02
2015-04-22,2.530353106107071,1923,1.3533556314939403,2015-04-22
2015-05-08,4.444336207546695,1939,1.3507310208691714,2015-05-08
2015-05-12,2.79714868581485,1943,1.350074868212979,2015-05-12
2015-07-07,3.3136909002077375,1999,1.3408887310262874,2015-07-07
2015-08-09,2.726652524185294,2032,1.335475471612701,2015-08-09
2015-09-24,0.5597044741343753,2078,1.3279297160664902,2015-09-24
2015-09-27,1.2944609533844242,2081,1.3274376015743459,2015-09-27
2015-10-07,0.48958646719361104,2091,1.3257972199338652,2015-10-07
2015-12-06,0.4643769832384982,2151,1.3159549300909812,2015-12-06
2015-12-14,0.4338513162741191,2159,1.3146426247785967,2015-12-14
2016-01-08,0.658005573772368,2184,1.3105416706773951,2016-01-08
2016-01-18,0.5498731403686151,2194,1.3089012890369145,2016-01-18
2016-02-03,0.5482491664940007,2210,1.3062766784121453,2016-02-03
2016-03-01,0.4214788768755744,2237,1.3018476479828476,2016-03-01
2016-03-05,1.524657026325547,2241,1.3011914953266552,2016-03-05
2016-03-09,1.6138015225232412,2245,1.3005353426704631,2016-03-09
2016-03-18,1.0821858065775984,2254,1.2990589991940305,2016-03-18
2016-04-16,1.8451680404486743,2283,1.2943018924366365,2016-04-16
2016-06-24,1.0481686460214552,2352,1.2829832591173198,2016-06-24
2016-09-15,1.1084424438831282,2435,1.2693680915013306,2016-09-15
2016-09-23,0.6893846368181126,2443,1.2680557861889459,2016-09-23
2017-05-30,1.2435723506721397,2692,1.2272102833409773,2017-05-30
2017-06-10,2.0202099394572937,2703,1.2254058635364486,2017-06-10
2017-08-07,0.6389607984915194,2761,1.2158916500216608,2017-08-07
2017-10-08,0.5665598127864631,2823,1.2057212838506808,2017-10-08
2017-10-13,0.8145009864940858,2828,1.2049010930304402,2017-10-13
2017-12-20,0.6448617642685379,2896,1.1937464978751717,2017-12-20
2017-12-27,0.4369691046178061,2903,1.1925982307268355,2017-12-27
2018-02-02,0.4884934918712363,2940,1.1865288186570568,2018-02-02
2018-03-12,0.9117608968526476,2978,1.1802953684232305,2018-03-12
2018-03-20,1.694588818260707,2986,1.178983063110846,2018-03-20
2018-07-23,3.416160739201885,3111,1.1584782926048376,2018-07-23
2018-08-18,1.8329152512419737,3137,1.1542133003395878,2018-08-18
2018-09-25,1.0779063206458204,3175,1.1479798501057612,2018-09-25
2018-12-30,0.5204142811023778,3271,1.132232186357147,2018-12-30
2019-12-27,0.3914092058780493,3633,1.072850370971747,2019-12-27
2020-01-11,0.5924613860797424,3648,1.070389798511026,2020-01-11
2020-01-20,0.5228460419416417,3657,1.0689134550345933,2020-01-20
2020-02-12,1.1388126584069416,3680,1.065140577261488,2020-02-12
